a ,article
abandon ,v
ability ,n
able ,adj
about ,prep
about ,adv
above ,adv
above ,prep
abroad ,adv
absence ,n
absent ,adj
absolute ,adj
abstract,
abstract ,adj
abuse ,v
abuse ,n
abusive,
academic ,adj
accept ,v
acceptable ,adj
acceptance,
access ,v
access ,n
accident ,n
accompany ,v
according to ,prep
account ,v
account ,n
accountant,
accurate ,adj
accuse,
ache ,n
ache,
achieve ,v
acquire ,v
acquit,
across ,adv
across ,prep
act ,v
act ,n
action ,n
active,
activity ,n
actor,
actress,
actual ,adj
actually ,adv
adapt ,v
add ,v
addition ,n
additional ,adj
address ,n
address ,v
adequate ,adj
adjourn,
adjust ,v
administration ,n
admiration,
admire ,v
admission ,n
admit ,v
adopt ,v
adoption,
adult ,n
adult ,adj
advance ,n
advance ,v
advantage ,n
adventure ,n
adventurous,
advertise ,v
advertisement ,n
advice,
advise ,v
affair ,n
affect ,v
affection,
affectionate,
afford ,v
afraid ,adj
after ,adv
after ,conj
after ,prep
afternoon,
again ,adv
against ,prep
age ,n
age ,v
agency ,n
agent ,n
aggravation,
aggressive,
ago,
agree ,v
agreement ,n
agriculture,
ahead ,adv
aid ,v
aid ,n
aim ,n
aim ,v
air,
air traffic controller,
airplane ,n
airport ,n
aisle,
alarm ,v
alarm ,n
alert ,n
alert ,adj
alert ,v
alibi,
alimony,
alive ,adj
all ,adv
all ,pron
all ,adj
all right ,adv
all right ,adj
allergy,
allow ,v
allowance ,n
almost ,adv
alone ,adv
alone ,adj
along ,adv
along ,prep
alphabet ,n
already,
also ,adv
alter ,v
alternative ,n
alternative ,adj
although ,conj
altogether ,adv
always,
amateur,
amaze ,v
ambition ,n
ambitious,
among ,prep
amount ,v
amount ,n
an ,article
analogy,
analysis ,n
analyze ,v
and ,conj
anger ,v
anger,
angle ,n
angry ,adj
anguish,
animal ,n
ankle,
announce ,v
annoy ,v
annoying,
annual ,adj
annually,
another ,pron
another ,adj
answer ,v
answer ,n
antihistamine,
anxiety,
anxious,
any ,adj
any ,pron
any ,adv
anybody ,pron
anyone ,pron
anything ,pron
anyway ,adv
anywhere ,adv
apart ,adv
apartment ,n
apologize ,v
apology ,n
apparent ,adj
apparently ,adv
appeal ,n
appeal ,v
appear ,v
appearance ,n
appetite,
apple ,n
application,
apply,
appoint ,v
appreciate,
approach ,n
approach ,v
appropriate ,adj
approval ,n
approve ,v
approximate ,adj
approximate ,v
April ,n
apt ,adj
aquifer,
arch,
arch ,v
architect,
area ,n
arena,
argue ,v
argument ,n
arm ,v
arm ,n
arm,
armpit,
army ,n
around ,adv
around ,prep
arrange ,v
arrangement ,n
arrest ,v
arrest ,n
arrival,
arrive ,v
arrow ,n
art ,n
article ,n
artificial ,adj
artist,
artistic,
as ,conj
as ,prep
as ,adv
ashamed ,adj
aside ,adv
ask ,v
asleep ,adj
aspirin,
assignment,
assist ,v
assistant ,n
associate ,v
associate's degree,
assume ,v
assure ,v
at ,prep
athlete ,n
athletic,
atmosphere,
attach ,v
attack ,n
attack ,v
attempt ,v
attempt ,n
attend ,v
attention,
attitude ,n
attorney,
attract ,v
attraction,
attractive ,adj
audience,
August ,n
aunt,
author ,n
authority ,n
automatic ,adj
automobile ,n
autumn,
available ,adj
avenue ,n
average ,n
average ,adj
avoid ,v
awake ,adj
awake ,v
award ,v
award ,n
aware ,adj
away ,adv
away ,adj
baby ,n
bachelor's degree,
back ,adj
back ,adv
back ,n
back ,v
backboard,
backhand,
backward ,adv
backward ,adj
bacterium ,n
bad ,adj
badly ,adv
bag ,n
baggage,
baggage ,n
bake ,v
balance ,v
balance ,n
ball ,n
band ,n
bandage,
bang ,v
bank ,n
banker,
bankrupt ,v
bankrupt,
bankrupt ,adj
bankruptcy,
bar ,n
barber,
bare ,adj
bark ,v
bark ,n
barn ,n
barometer,
barrier ,n
bartender,
base ,n
base ,v
baseball ,n
baseball,
basic ,adj
basically ,adv
basis ,n
basket ,n
basketball,
bath ,n
bathe ,v
bathroom ,n
batter ,
battery ,n
battle ,n
be ,v
beach ,n
beak ,n
bean ,n
bear ,v
beard,
beat ,n
beat ,v
beautiful ,adj
beauty ,n
because ,conj
become ,v
bed ,n
beef ,n
before ,conj
before ,prep
before,
beg ,v
begin ,v
beginning ,n
behalf ,n
behave ,v
behavior ,n
behind ,prep
behind ,adv
belief ,n
believe ,v
bell ,n
belong ,v
below ,adv
below ,prep
belt ,n
bench ,n
bend ,n
bend ,v
beneath ,prep
beneath ,adv
benefit,
beside ,prep
besides ,adv
besides ,prep
best ,adj
best ,n
best ,adv
bet ,v
bet ,n
better ,adj
better ,adv
between ,prep
beyond ,prep
beyond ,adv
bible ,n
bibliography,
bicycle ,n
bid ,n
bid ,v
big ,adj
bill ,n
bill ,v
bind ,v
biodegradable,
biodiversity,
biology ,n
bird ,n
birth ,n
bit ,n
bite ,n
bite ,v
bitter ,adj
black ,adj
black ,n
blade ,n
blame ,v
blame ,n
blank ,n
blank ,adj
blanket ,n
bleed ,v
blend ,v
blind ,v
blind ,adj
blizzard,
block ,n
block ,v
blond ,n
blond ,adj
blood,
blow ,v
blow ,n
blue ,n
blue ,adj
board ,v
board ,n
boarding pass,
boast ,v
boat ,n
body ,n
boil ,v
bold ,adj
bomb ,n
bomb ,v
bond ,n
bond ,v
bone,
bonus,
book ,n
bookkeeper,
boot ,n
border ,v
border ,n
bore ,v
boredom,
born ,adj
borrow ,v
boss,
boss ,v
bossy,
both ,pron
both ,conj
both ,adj
bother ,v
bother ,n
bottle ,n
bottom ,n
bounce ,v
bound ,adj
boundary ,n
bow ,n
bow ,v
bowl ,n
box ,n
boy ,n
brace ,v
brace ,n
brain ,n
branch ,n
brand ,n
brave,
bread ,n
break ,n
break ,v
breakfast ,n
breast,
breath ,n
breathe ,v
breed ,n
breed ,v
breezy,
bribe ,n
bribe ,v
bride ,n
bridge ,n
bridge ,v
brief,
brief ,adj
bright ,adj
brilliant ,adj
broken,
bronchitis,
brother,
brother-in-law,
bruise,
budget,
builder,
bulkhead,
businessman,
businessperson,
businesswoman,
butcher,
cage ,n
cake ,n
calculate ,v
calculation ,n
calendar ,n
calf,
call ,v
call ,n
calm,
camera ,n
camp ,v
